id,sku,name,price,currency,in_stock,categories,short_description,permalink
100mm-cable-tie-zip-tie,100mm-cable-tie-zip-tie,Cable Tie 100mm 100 Pcs Pack Black or White,50,BDT,yes,,,https://makersbd.com/product/100mm-cable-tie-zip-tie
pir-infrared-motion-sensor-for-light,pir-infrared-motion-sensor-for-light,PIR Infrared Motion Sensor Switch 110-240V Human Sensor for Light Bulb,195,BDT,yes,,,https://makersbd.com/product/pir-infrared-motion-sensor-for-light
push-button-6pin-self-locking-switch,push-button-6pin-self-locking-switch,Push Button 6 Pins Self-locking 5.8×5.8mm 3Pcs,36,BDT,yes,,,https://makersbd.com/product/push-button-6pin-self-locking-switch
metalic-red-push-button-switch-pbs-110,metalic-red-push-button-switch-pbs-110,Push Button Switch Mini Metalic PBS-110 Press Break -Red,30,BDT,yes,,,https://makersbd.com/product/metalic-red-push-button-switch-pbs-110
round-push-button-switch-black-red,round-push-button-switch-black-red,Round Push Button Of Off Switch Black Red,30,BDT,yes,,,https://makersbd.com/product/round-push-button-switch-black-red
smart-pir-motion-sensor-adjustable-day-night-timing,smart-pir-motion-sensor-adjustable-day-night-timing,PIR Motion Sensor Switch 110-240V Human Sensor with Adjustable Timer,290,BDT,yes,,,https://makersbd.com/product/smart-pir-motion-sensor-adjustable-day-night-timing
5mm-white-led-high-bright-10pcs,5mm-white-led-high-bright-10pcs,5mm White LED Light (Bright) 10Pcs Pack,25,BDT,yes,,,https://makersbd.com/product/5mm-white-led-high-bright-10pcs
mini-ups-box-40w-router-ups-case,mini-ups-box-40w-router-ups-case,MINI UPS BOX 40W Router UPS Circuit DIY Laser Cut Case,160,BDT,yes,,,https://makersbd.com/product/mini-ups-box-40w-router-ups-case
1200mah-li-polymer-battery-103040-with-bms-jst-connector,1200mah-li-polymer-battery-103040-with-bms-jst-connector,1200mAh Li-Polymer Rechargeable Battery 103040 With BMS and JST Connector,220,BDT,yes,,,https://makersbd.com/product/1200mah-li-polymer-battery-103040-with-bms-jst-connector
7pcs-metal-drill-chuck-775-motor,7pcs-metal-drill-chuck-775-motor,0.5-3mm Metal Drill Chuck for 775 DC Motor,160,BDT,yes,,,https://makersbd.com/product/7pcs-metal-drill-chuck-775-motor
esp8266-wifi-relay-switch-combo-pack-diy,esp8266-wifi-relay-switch-combo-pack-diy,ESP8266 Based Wifi Relay Switch DIY Project Pack Combo,1017,BDT,yes,,,https://makersbd.com/product/esp8266-wifi-relay-switch-combo-pack-diy
3s-10a-12.6v-bms-battery-protection-board,3s-10a-12.6v-bms-battery-protection-board,3S 12V 10A BMS 18650 Lithium Battery Protection Board 12.6V Overcharge & Over-Di...,120,BDT,yes,,,https://makersbd.com/product/3s-10a-12.6v-bms-battery-protection-board
4v-10w-ultra-bright-cob-led,4v-10w-ultra-bright-cob-led,4V 10W Ultra Bright White COB SMD Light Chip 30 LEDs,75,BDT,yes,,,https://makersbd.com/product/4v-10w-ultra-bright-cob-led
6pcs-mini-saw-blades-set-hss-cutting,6pcs-mini-saw-blades-set-hss-cutting,Mini Circular Saw Blade 6Pcs Set HSS Cutting Disc,230,BDT,yes,,,https://makersbd.com/product/6pcs-mini-saw-blades-set-hss-cutting
47-in-1-cordless-mini%20screwdriver-set,47-in-1-cordless-mini%20screwdriver-set,47 in 1 Cordless Rechargeable Electric Screwdriver Set,1350,BDT,yes,,,https://makersbd.com/product/47-in-1-cordless-mini%20screwdriver-set
barley-safety-paper-for-batterypacks,barley-safety-paper-for-batterypacks,Batterypack Safety Paper Barley Paper with Adhesive 65mm*1Feet,45,BDT,yes,,,https://makersbd.com/product/barley-safety-paper-for-batterypacks
3.5mm-stereo-audio-aux-cable,3.5mm-stereo-audio-aux-cable,3.5mm Audio Cable Stereo AUX Audio Cable for Amplifiers 20 Inch,35,BDT,yes,,,https://makersbd.com/product/3.5mm-stereo-audio-aux-cable
5v-solar-panel-200ma-1watt,5v-solar-panel-200ma-1watt,5V Solar panel 200mA Cell Module Charger 1Watt High Quality,350,BDT,yes,,,https://makersbd.com/product/5v-solar-panel-200ma-1watt
arduino-uno-smd-type-b,arduino-uno-smd-type-b,Arduino UNO R3 SMD Edition Type B with Rail,580,BDT,yes,,,https://makersbd.com/product/arduino-uno-smd-type-b
screwdriver-ser-115-in-1-tool-kit-magnetic,screwdriver-ser-115-in-1-tool-kit-magnetic,Screwdriver Set 115 In 1 Tool Kit Professional Magnetic Driver for Electronic Re...,1180,BDT,yes,,,https://makersbd.com/product/screwdriver-ser-115-in-1-tool-kit-magnetic
flat-head-mini-screwdriver-blue,flat-head-mini-screwdriver-blue,Small Flat Head Screwdriver Steel Shaft Blue,35,BDT,yes,,,https://makersbd.com/product/flat-head-mini-screwdriver-blue
star-head-phillips-screwdriver-4inch,star-head-phillips-screwdriver-4inch,Star Head Phillips Screwdriver Stainless Steel Shaft,90,BDT,yes,,,https://makersbd.com/product/star-head-phillips-screwdriver-4inch
flatheat-screwdriver-7inch,flatheat-screwdriver-7inch,Flat Head Screwdriver Steel Shaft Blue,90,BDT,yes,,,https://makersbd.com/product/flatheat-screwdriver-7inch
2-in-1-electric-tester-multi-screwdriver,2-in-1-electric-tester-multi-screwdriver,2 in 1 Electric Tester Multi Screwdriver Flat and Star Driver,35,BDT,yes,,,https://makersbd.com/product/2-in-1-electric-tester-multi-screwdriver
automatic-light-on-off-sensor,automatic-light-on-off-sensor,Automatic On Off Day Night Light Sensor 220V 50-60Hz 10A Photo Control Switch,260,BDT,yes,,,https://makersbd.com/product/automatic-light-on-off-sensor
