product,n_shops,n_rows,udvabony_price,udvabony_url,udvabony_name,techshopbd_price,techshopbd_url,techshopbd_name,makersbd_price,makersbd_url,makersbd_name,electronics.com.bd_price,electronics.com.bd_url,electronics.com.bd_name
Mini GA6 A6 GPRS GSM Module SMS Voice Development Board Wireless Data Transmission With Antenna Module For Arduino Replace SIM800L,2,2,550.0,https://udvabony.com/product/a6-mini-gsm-module/,Mini GA6 A6 GPRS GSM Module SMS Voice Development Board Wireless Data Transmission With Antenna Module For Arduino Replace SIM800L,,,,,,,750.0,https://electronics.com.bd/ga6-b-mini-gprs-gsm-module-a6-sms-voice-development-board-5v,GA6-B mini GPRS GSM module A6 SMS voice development board 5V
5V 1601 Display 1601 LCD Display 16×1 1601A LCD Display Module For Arduino 1601A Display 16×01 Character Blue Backlight Screen 5V LCD Display IIC I2C,1,4,150.0,https://udvabony.com/product/lcd1602-with-bule-backlight/,5V 1602 Display 1602 LCD Display 16×2 1602A LCD Display Module For Arduino 1602A Display 16×02 Character Blue Backlight Screen 5V LCD Display IIC I2C,,,,,,,,,
F-O 12Pin Female To Open Cable Connector 12 Pin 2.54mm Pitch JST Cable Connector 27cm Wire Cable 12 Pin Female Header For Audio Video Sound Electronics Cables,1,19,10.0,https://udvabony.com/product/f-o-black-red-female-to-open-2-pin-2-54mm/,F-O 2 Pin BLACK & RED Female To Open 2 Pin 2.54mm Pitch JST XH Connector 27cm Wire Cables 2 Pin Connectors With Cables JST Connectors 2 Pin,,,,,,,,,
Serial Port RS232 To TTL Converter Module TTL To RS232 DB9 Female 9 Pin Adapters COM Connector Based On MAX3232 IC 4 Pin Cable Connectors,2,4,199.0,https://udvabony.com/product/rs232-to-ttl-converter-module/,Serial Port RS232 To TTL Converter Module TTL To RS232 DB9 Female 9 Pin Adapters COM Connector Based On MAX3232 IC 4 Pin Cable Connectors,,,,,,,396.0,https://electronics.com.bd/usb-to-rs232-db9-serial-adapter,USB to RS232 DB9 Serial Adapter
ABS 3D Printer Filaments 1.75mm 2.2LBS/1KG ABS Filament ( color - Random),2,7,1999.0,https://udvabony.com/product/1-75mm-1kg-white-color-3d-printer-filament/,1KG 1.75mm White Color PLA Filament For 3D Printers,,,,,,,1950.0,https://electronics.com.bd/pla-3d-printer-filament-1-75mm-1kg2-2lb-black,PLA 3D Printer Filament 1.75mm 1KG/2.2lb (BLACK)
1Pair- 75mm Propeller Blade Fan 180 Motor Propeller Blade Wing 75mm 3 Inch Fan CW & CCW Nylon 180 Propellers 2mm Shaft Propeller Motor 180 RC Quadcopter Drone,1,8,49.0,https://udvabony.com/product/75mm-propeller-blade-fan-180-brushed-motor/,1Pair- 75mm Propeller Blade Fan 180 Motor Propeller Blade Wing 75mm 3 Inch Fan CW & CCW Nylon 180 Propellers 2mm Shaft Propeller Motor 180 RC Quadcopter Drone,,,,,,,,,
3800mAh Battery SML3800 18650 Battery 3.7V 3800mAh Rechargeable Battery 18650 Rechargeable Battery 3.7V Rechargeable Battery Lithium Battery 3.7V Battery For Power Bank Laptop Battery,1,9,60.0,https://udvabony.com/product/3-7v-14500-1200mah-li-ion-battery/,3.7V 14500 Battery ULF NORMAL Quality 3.7V Rechargeable Battery AA Battery AA Rechargeable Battery 3.7V Battery Lithium Battery For Toy Cars MP3 Audio Video Power Bank Batteries,,,,,,,,,
SMD Arduino Uno R3 Development Board SMD Chip Version Microcontroller Based On ATmega328 With USB Cables Arduino Uno Starter Kit For Electronics Projects,1,2,480.0,https://udvabony.com/product/arduino-uno-r3-smd-china/,SMD Arduino Uno R3 Development Board SMD Chip Version Microcontroller Based On ATmega328 With USB Cables Arduino Uno Starter Kit For Electronics Projects,,,,,,,,,
Rubber Duck GSM Antennas 2dBi WiFi Antenna SMA Male Connector 2G Rubber Duck Antenna L Type SMA 2dBi 433MHZ Omni-Directional Antenna Electrical Circuitry & Parts,1,1,160.0,https://udvabony.com/product/antenna-gsm-2dbi-rubber-duck-r-a-sma/,Rubber Duck GSM Antennas 2dBi WiFi Antenna SMA Male Connector 2G Rubber Duck Antenna L Type SMA 2dBi 433MHZ Omni-Directional Antenna Electrical Circuitry & Parts,,,,,,,,,
2.4G 4G 433MHz Wifi Antenna ZigBee Bluetooth Glue Stick Omni-directional External Small Folding Antenna SMA Inner Needle,1,1,199.0,https://udvabony.com/product/2-dbi-anttena-for-lora-board/,2.4G 4G 433MHz Wifi Antenna ZigBee Bluetooth Glue Stick Omni-directional External Small Folding Antenna SMA Inner Needle,,,,,,,,,
