id,sku,name,price,currency,in_stock,categories,short_description,permalink,shop
6593,u6593,18mm TO220 TO-220 Silicone Thermal Insulator Pad Size 18x13x0.3mm For TO220 MOSFET Voltage Regulators Transistor Thermal Insulator Pad Electrical Circuitry & Parts,1.5,BDT,yes,"DC Fan, Heat Shrink, Cooler & Peltier | Heat Sink",25Pcs- TO220 TO-220 Silicone Thermal Insulator Pad For TO220 MOSFET Voltage Regulators Transistor Thermal Insulator Pad,https://udvabony.com/product/thermal-insulator-pad-washer/,udvabony
6599,u6599,"High Speed USB 2.0 Type A To USB Type B Male 30cm Digital Data Cable Cord For USB Printer Scanner Digital Camera, Arduino Uno Arduino Mega",99.0,BDT,yes,"Connectors, Cables, Header, Jack & Socket | Connector & Cable Wires",High Speed USB 2.0 Type A To USB Type B Male 30cm Digital Data Cable Cord For Printer Scanner Arduino Uno Arduino Mega R3,https://udvabony.com/product/usb-2-0-a-to-b-30cm-cable/,udvabony
6602,u6602,Veroboard Normal Dotted 14.5×6.5cm Stripboard Board PCB Printed Circuit Board For Prototyping Designing Weld Soldering Arduino DIY,35.0,BDT,yes,BreadBoard & VeroBoard | Veroboard,Veroboard Normal Dotted 14.5×6.5cm Stripboard Board PCB Printed Circuit Board For Prototyping Designing Weld Soldering Arduino DIY,https://udvabony.com/product/veroboard-normal-dotted/,udvabony
6605,u6605,LINE Veroboard Normal Line 14.5×6.5cm Stripboard Vero Board Line Veroboard Single Side For Prototyping Designing Weld Soldering Arduino DIY,35.0,BDT,yes,BreadBoard & VeroBoard | Veroboard,Veroboard Normal Line 14.5×6.5cm Stripboard PCB Printed Circuit Board For Prototyping Designing Weld Soldering Arduino DIY,https://udvabony.com/product/veroboard-normal-line/,udvabony
6610,u6610,2N5459 2N-5459 5459 JFET 25V 10mA 310mW N-Channel TO-92 Package 3 Pin Transistor General Purpose Switching Transistor,120.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2N5459 2N-5459 5459 JFET 25V 10mA 310mW N-Channel TO-92 Package 3 Pin Transistor General Purpose Switching Transistor,https://udvabony.com/product/2n5459-jfet-n-channel-transistor/,udvabony
6618,u6618,2SK1101 2SK-1101 K1101 MOSFET 50W 450V 10A TO-220 Power MOSFET N-Channel Silicon Power MOSFET MOS Field Effect Transistor,75.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK1101 2SK-1101 K1101 MOSFET 50W 450V 10A TO-220 Power MOSFET N-Channel Silicon Power MOSFET MOS Field Effect Transistor,https://udvabony.com/product/2sk1101-01mr-mosfet-50w-450v10a/,udvabony
6621,u6621,2SK1306 K1306 100V 15A 30W Transistor Silicon N-Channel MOSFET TO-220 Package,80.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK1306 K1306 100V 15A 30W Transistor Silicon N-Channel MOSFET TO-220 Package,https://udvabony.com/product/2sk1306-mosfet-30w-100v-15a/,udvabony
6624,u6624,2SK1413 2SK-1413 K1413 1413 Transistor 2A 1500V 60W N-Channel Silicon MOSFET Transistor TO-220 Package MOSFET,180.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK1413 2SK-1413 K1413 1413 Transistor 2A 1500V 60W N-Channel Silicon MOSFET Transistor TO-220 Package MOSFET,https://udvabony.com/product/2sk1413-mosfet-1500v-2a/,udvabony
6627,u6627,2SK1507 2SK-1507 2SK 1507 600V Transistor MOSFET TO-220F Package N-Channel MOSFET Field Effect Transistor,55.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK1507 2SK-1507 FEC 2SK 1507 600V Transistor MOSFET TO-220F Package N-Channel MOSFET Field Effect Transistor,https://udvabony.com/product/2sk1507-mosfet-n-channel/,udvabony
6631,u6631,2SK1794 2SK-1794 K1794 1794 MOSFET 900V 6A 100W TO-3P Field Effect Transistor MOSFET,75.0,BDT,yes,MOSFETs & IGBTs | MOSFETs,2SK1794 2SK-1794 K1794 1794 MOSFET 900V 6A 100W TO-3P Field Effect Transistor MOSFET,https://udvabony.com/product/2sk1794-mosfet-900v-6a-100w/,udvabony
