id,sku,name,price,currency,in_stock,categories,short_description,permalink
stepper-motor-17hs4023-nema-17-3d-printer,2953,Stepper Motor 42*42*23Mm 17Hs4023 Nema 17 Stepper motor/ Titan Extruder 3D Printer Parts,745.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/stepper-motor-17hs4023-nema-17-3d-printer
e3d-hotend-for-3d-print,2533,E3D Hotend For 3D Print,1200.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/e3d-hotend-for-3d-print
nema-17-stepper-motor-and-four-wire,2532,NEMA 17 stepper motor and Four wire two phase,1350.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/nema-17-stepper-motor-and-four-wire
12v-stepper-motor-with-driver-28byj-48,2427,12V Stepper Motor with Driver 28BYJ-48,210.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/12v-stepper-motor-with-driver-28byj-48
nema23-bipolar-cnc-motor-1-26nm,1002,CNC Motor Nema23 Bipolar 1.26Nm with 2.8A 57x56m 4 Wires 6mm Dia Shaft(23HS22-2804S1),2561.00,BDT,yes,3d-printer-parts,,https://electronics.com.bd/nema23-bipolar-cnc-motor-1-26nm
bambu-lab-p2s-combo,6663,Bambu Lab P2S Combo Global 3D Printer AMS 600mm/s,175000.00,BDT,yes,3d-printers,,https://electronics.com.bd/bambu-lab-p2s-combo
bambu-lab-p2s,6662,Bambu Lab P2S 3D Printer 256mm High-Speed 600mm/s main image,109900.00,BDT,yes,3d-printers,,https://electronics.com.bd/bambu-lab-p2s
creality-ender-3-v3-se,6648,Ender-3 V3 SE 3D Printer 220x220x250mm Auto Level main image,32500.00,BDT,yes,3d-printers,,https://electronics.com.bd/creality-ender-3-v3-se
bambu-lab-a1-3d-printer,6320,Bambu Lab A1 3D Printer Combo – High-Speed Smart 3D Printing,78950.00,BDT,yes,3d-printers,,https://electronics.com.bd/bambu-lab-a1-3d-printer
bambu-lab-a1,6319,Bambu Lab A1 3D Printer,61370.00,BDT,yes,3d-printers,,https://electronics.com.bd/bambu-lab-a1
neptune-4-pro-3d-printer,6318,Neptune 4 Pro 3D Printer 500mm/s 300°C High Temp main image,52500.00,BDT,yes,3d-printers,,https://electronics.com.bd/neptune-4-pro-3d-printer
flsun-sr-super-racer-3d-printer,6317,FLSUN SR Super Racer Delta 3D Printer 300mm/s main image,68930.00,BDT,yes,3d-printers,,https://electronics.com.bd/flsun-sr-super-racer-3d-printer
anycubic-kobra-max-3d-printer,4539,Anycubic Kobra Max Large Format 3D Printer main image,89980.00,BDT,yes,3d-printers,,https://electronics.com.bd/anycubic-kobra-max-3d-printer
creality-3d-cr-200b-printer,4217,Creality 3D CR-200B Fully Enclosed FDM 3D Printer 200×200×200 mm Build Size,70191.00,BDT,yes,3d-printers,,https://electronics.com.bd/creality-3d-cr-200b-printer
bluer-3-v2-3d-printer,4216,Bluer 3 V2 FDM 3D Printer 235×235×280 mm High-Precision Printing Machine,28000.00,BDT,yes,3d-printers,,https://electronics.com.bd/bluer-3-v2-3d-printer
ender-3-v2-3d-printer,4215,Creality Ender-3 V2 FDM 3D Printer | 220×220×250mm High Precision Printing,43848.00,BDT,yes,3d-printers,,https://electronics.com.bd/ender-3-v2-3d-printer
anycubic-i3-mega-s-3d-printer,3508,Anycubic I3 Mega S 3D Printer,42925.00,BDT,yes,3d-printers,,https://electronics.com.bd/anycubic-i3-mega-s-3d-printer
anycubic-i3-mega-s-fdm-3d-printer,3507,Anycubic i3 Mega S FDM 3D Printer,41000.00,BDT,yes,3d-printers,,https://electronics.com.bd/anycubic-i3-mega-s-fdm-3d-printer
zk-tb21-amplifier-board,6377,ZK-MT21 2.1 Channel Bluetooth Audio Amplifier Board main image,2399.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/zk-tb21-amplifier-board
dy-ap3015-dc-8-24v-30w-stereo-digital-amplifier,3940,DY-AP3015 DC 8-24V 30W * 2 Class D Dual Channel High Power Stereo Digital Amplifier Board with Adjustable Volume Potentiometer,270.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/dy-ap3015-dc-8-24v-30w-stereo-digital-amplifier
xh-a314-bluetooth-5-0-tpa3116-stereo-amp-module,3874,Xh-A314 Bluetooth 5.0 Tpa3116 50W+50W Digital Power Amplifier Board Stereo Audio Amp Module Support Tf Card,1320.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/xh-a314-bluetooth-5-0-tpa3116-stereo-amp-module
xh-m543-digital-power-amplifier-board-tpa3116d2-module,3872,XH-M543 Two-Channel D-Class Digital Power Amplifier Board Audio Amplifier Board TPA3116D2 Amplification Module,950.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/xh-m543-digital-power-amplifier-board-tpa3116d2-module
tpa3110-2x15w-digital-audio-stereo-amplifier-module-board-mini-binaural,3869,TPA3110 2X15W Digital Audio Stereo Amplifier Module Board Mini Binaural,199.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3110-2x15w-digital-audio-stereo-amplifier-module-board-mini-binaural
speaker-protect-relay-board,3448,High Power Speaker Protect Relay Board 2.1 Channel Speaker DC Protector Module Delay-on Panel AC 12V-15V,899.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/speaker-protect-relay-board
tda7498-100w-x2-bluetooth-receiver-audio-digital-amplifier-board,2454,TDA7498 100W X2 Bluetooth Receiver Audio Digital Amplifier Board,1652.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda7498-100w-x2-bluetooth-receiver-audio-digital-amplifier-board
tda7498-class-d-2x100w-dual-channel-audio-stereo-digital-amplifier-board,0503,TDA7498 Class D 2X100W Dual Channel Audio Stereo Digital Amplifier Board,1550.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda7498-class-d-2x100w-dual-channel-audio-stereo-digital-amplifier-board
hf183-bluetooth-amplifier-module,3229,SANWU® HF183 TPA3116 2X50W Digital Wireless bluetooth Receiver Module Amplifier Board,1216.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/hf183-bluetooth-amplifier-module
tda8954th-420w-class-d-audio-amplifier-board,1167,TDA8954TH Class D 420W * 2 High Power Digital Audio Amplifier Board Two Channel Pure Post-Dual Stage Amplifier Board AC24V,4957.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda8954th-420w-class-d-audio-amplifier-board
tpa3110-30w-stereo-audio-amplifier-board-dc-8-26v,3493,TPA3110 XH-A232 30W+30W 2.0 Channel Digital Stereo Audio Power Amplifier Board DC 8-26V 3A,292.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3110-30w-stereo-audio-amplifier-board-dc-8-26v
boschmann-xw-f7699-audio-amplifier,3363,BOSCHMANN XW-F7699 AUDIO AMPLIFIER,19950.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/boschmann-xw-f7699-audio-amplifier
mini-digital-tpa3116d2-dual-channel-stereo-speaker-amplifier-board-hifi-50wx2,3342,Mini Digital TPA3116D2 Dual Channel Stereo Speaker Amplifier Board HIFI 50Wx2,1042.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/mini-digital-tpa3116d2-dual-channel-stereo-speaker-amplifier-board-hifi-50wx2
tpa3110-bluetooth-amplifier,3115,TPA3110 Bluetooth 4.2 15w+15W Digital Stereo Audio Power Amplifier Board Module 12V-24V,600.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3110-bluetooth-amplifier
dc-12v-tda7379-38w38w-stereo-amplifier-board,3105,DC 12V TDA7379 38W+38W Stereo Amplifier Board,548.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/dc-12v-tda7379-38w38w-stereo-amplifier-board
90w-hifi-bt-339a-amplifier,3026,90W 220V/12V HiFi BT-339A Audio Power Amplifier Remote Control EU Plug Support FM USB SD Card bluetooth,3006.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/90w-hifi-bt-339a-amplifier
bt-699d-bluetooth-amplifier,3025,BT-699D Bluetooth Car Home Audio Amplifier AC220V DC12V with Remote,1870.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/bt-699d-bluetooth-amplifier
dx0809-amplifier-12v-60w-peak-stereo-audio-power-amplifier-board-diy,3022,DX0809 Amplifier 12V 60W Peak Stereo Audio Power Amplifier Board DIY,455.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/dx0809-amplifier-12v-60w-peak-stereo-audio-power-amplifier-board-diy
toshiba-1943-5200-amplifier-board,3020,Toshiba 1943-5200 Power Amplifier Board 400W+400W 2.0 Stereo Channel AMP Mono 800W Audio Amplifier Board AC24-36V,5000.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/toshiba-1943-5200-amplifier-board
pt2399-microphone-amplifier-board,3003,PT2399 Digital Microphone Amplifier Board Karaoke Reverberation Board Karaoke OK Amplifier Module Dual AC12V,765.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/pt2399-microphone-amplifier-board
ca-6928-jl-ic-super-mini-digital-5v-amplifier-audio-music-board-with-bluetooth-bt,2999,CA-6928 JL IC Super mini digital 5V amplifier audio music board with bluetooth BT,79.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/ca-6928-jl-ic-super-mini-digital-5v-amplifier-audio-music-board-with-bluetooth-bt
bt-audio-receiver-5-0-mp3-decoder-xy-wrbt,2921,Bluetooth Audio Receiver board Bluetooth 5.0 mp3 lossless decoder board Wireless Stereo Music Module XY-WRBT,297.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/bt-audio-receiver-5-0-mp3-decoder-xy-wrbt
18650-power-bank-box-3-usb-ports,2902,TDA7850 power amplifier board 4 channel power amplifier board 4X50W with BA3121 noise reduction,1099.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/18650-power-bank-box-3-usb-ports
hx711-module-load-cell-voltage-amplifier,2834,HX711 Module Load Cell Voltage Amplifier,130.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/hx711-module-load-cell-voltage-amplifier
bluetooth-audio-receiver-with-amplifier-2x5w-mh-m38,2830,Bluetooth Audio Receiver with Amplifier 2x5W - MH-M38,380.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/bluetooth-audio-receiver-with-amplifier-2x5w-mh-m38
mh-m28-bluetooth-mp3-audio-receiver-module,2829,MH-M28 Wireless Bluetooth-compatible MP3 Audio Receiver Module Lossless Decoder,280.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/mh-m28-bluetooth-mp3-audio-receiver-module
m18-mh-mx8-bluetooth-mp3-receiver-board,2828,M18 MH-MX8 Wireless Bluetooth MP3 Audio Receiver board BLT 4.2 mp3 lossless decoder kit,279.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/m18-mh-mx8-bluetooth-mp3-receiver-board
winford-professional-crossover-3-unit-7oow-wf-pa25t,2814,Winford Professional Crossover 3 UNIT 7OOW WF-PA25T,2244.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/winford-professional-crossover-3-unit-7oow-wf-pa25t
1200w-2-way-audio-speaker-frequency-divider,2800,1200W Audio Speaker 2 Way Frequency Divider Dual Bass Tweeter 2 Unit Crossover Filter,1564.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/1200w-2-way-audio-speaker-frequency-divider
tpa-3116d2-mono-audio-amplifier-100w-dc-12-26v,2736,TPA3116D2 Board DC 12-26V 100W TPA3116DA Mono Channel Digital Power Audio Amplifier XH-M542,680.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa-3116d2-mono-audio-amplifier-100w-dc-12-26v
pam8403-class-d-mini-digital-power-amplifier-board,2703,PAM8403 Class D Mini Digital Power Amplifier Board,55.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/pam8403-class-d-mini-digital-power-amplifier-board
bluetooth-audio-receiver-board-bluetooth-4-1-mp3-lossless-decoder,2694,Bluetooth Audio Receiver board Bluetooth 4.1 mp3 lossless decoder board Wireless Stereo Music Module,200.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/bluetooth-audio-receiver-board-bluetooth-4-1-mp3-lossless-decoder
mp3-lossless-decoder-board-tf-card-u-disk-decoder-player-module-amplifier,2651,Mp3 lossless decoder board TF card U disk MP3 decoder player module comes with power Amplifiers,372.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/mp3-lossless-decoder-board-tf-card-u-disk-decoder-player-module-amplifier
tinysine-tsa7498-2-channel-100w-class-d-bluetooth-4-0-audio-amplifier-board,2650,TinySine TSA7498 2 Channel 100W Class D Bluetooth 4.0 Audio Amplifier Board,5266.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tinysine-tsa7498-2-channel-100w-class-d-bluetooth-4-0-audio-amplifier-board
4-1-bluetooth-mp3-ble-decoder-board-module,1278,4.1 Bluetooth MP3 BLE Decoder Board Module Lossless Car Speaker Audio Power Amplifier Amp Modification Diy Audio Receiver,361.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/4-1-bluetooth-mp3-ble-decoder-board-module
f900-digital-power-amplifier-50w-x2-with-bluetooth,2629,F900 Digital power Amplifier 50W X2 With Bluetooth,3028.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/f900-digital-power-amplifier-50w-x2-with-bluetooth
tpa5613-digital-audio-power-amplifier-75w-2-150w-bluetooth-4-0,2628,TPA5613 Digital Audio Power Amplifier 75W*2+150W Hifi 2.1 Bluetooth 4.0 - Aluminum Body DC18-32V,5009.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa5613-digital-audio-power-amplifier-75w-2-150w-bluetooth-4-0
tpa3116d2-60wx2-100w-xh-m560-digital-amplifier-board-bluetooth-2-1,2627,TPA3116D2 60W x 2 + 100W XH-M560 digital amplifier board Bluetooth 2.1,3900.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3116d2-60wx2-100w-xh-m560-digital-amplifier-board-bluetooth-2-1
hs-s57l-su-03t-offline-ai-voice-recognition-module,1230,HS-S57L SU-03T Offline AI Voice Recognition Module,1499.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/hs-s57l-su-03t-offline-ai-voice-recognition-module
amplifier-board-tpa3116-dc-12-24v-100w-subwoofer,1229,Amplifier Board TPA3116 DC 12-24v 100W Subwoofer,1435.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/amplifier-board-tpa3116-dc-12-24v-100w-subwoofer
amplifier-board-tda8954th-420w-mono-channel-digital-core-btl-mode-fever-hw-717,1228,Amplifier Board TDA8954TH 420W Mono Channel Digital Core BTL Mode fever HW-717,2450.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/amplifier-board-tda8954th-420w-mono-channel-digital-core-btl-mode-fever-hw-717
amplifier-board-tda8954th-420w-high-power-class-ad-amp-dual-ac-24v-xh-m257,1227,Amplifier Board TDA8954TH 420W High Power Class AD AMP Dual AC 24V XH-M257,3700.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/amplifier-board-tda8954th-420w-high-power-class-ad-amp-dual-ac-24v-xh-m257
tpa3116d2-50w-50w-bluetooth-4-0-amplifier-board-xh-m422-dc12-24v,2530,TPA3116D2 50W + 50W Bluetooth 4.0 amplifier board XH-M422 DC12-24V,1817.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3116d2-50w-50w-bluetooth-4-0-amplifier-board-xh-m422-dc12-24v
tda7492p-50w-digital-power-amplifier,2455,TDA7492P 50W+50W Digital Power Amplifier Board Wireless Bluetooth V4.0,995.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tda7492p-50w-digital-power-amplifier
microphone-amplifier-board-xh-m273-pt2399-ne5532-pre-amplifier,2469,microphone Amplifier Board XH-M273 PT2399 NE5532 Pre-amplifier,720.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/microphone-amplifier-board-xh-m273-pt2399-ne5532-pre-amplifier
digital-amplifier-board-oep30w-mono,2509,Digital Amplifier Board OEP30W Mono,363.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/digital-amplifier-board-oep30w-mono
tpa3110d2-stereo-audio-amplifier-module-2x15-w-board,2508,TPA3110D2 Stereo Audio Amplifier Module 2x15 W Board,190.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/tpa3110d2-stereo-audio-amplifier-module-2x15-w-board
stereo-ne5532-tone-control-hifi-pre-amplifier-board-treble-bass,2506,Stereo NE5532 Tone Control HiFi Pre-Amplifier Board Treble Bass,729.00,BDT,yes,amplifier-boards,,https://electronics.com.bd/stereo-ne5532-tone-control-hifi-pre-amplifier-board-treble-bass
